"Year","State_fip","FIPS","County","total_asian_pacific_pop","DSW_male","DSW_female","total_DSW","BA_higher_ratio_male","BA_higher_ratio_female","BA_higher_ratio_2534","BA_higher_ratio_3544","BA_higher_ratio_4564","BA_higher_ratio_65","BA_higher_ratio_white","BA_higher_ratio_black","BA_higher_ratio_native","BA_higher_ratio_asian_pacific","below_poverty_ratio","below_poverty_ratio_male","below_poverty_ratio_female","below_poverty_ratio_2534","below_poverty_ratio_3544","below_poverty_ratio_4564","below_poverty_ratio_65","below_poverty_ratio_white","below_poverty_ratio_black","below_poverty_ratio_native","below_poverty_ratio_asian_pacific","BA_higher_ratio","male_seperated","female_divorced","female_widowed","female_seperated","female_married","female_never_married","male_divorced","male_widowed","male_married","male_never_married","female_nospouse_withchildren","male_nospouse_withchildren","total_female_pop","total_male_pop","total_pacific_pop","total_asian_pop","total_native","total_black","total_white","foreign_born","US_born","total_housing_unitsE","per_capita_income","mean_household_income","public_admin","other_services","arts_ent_rec","edu_health_social","prof_scientific","finance_insurance","information","transportation","retail_trade","wholesale_trade","manufacturing","construction","agriculture_mining","production_pe","natural_resources_pe","sales_pe","service_pe","management_pe","armed_forces_pe","unemployed_pop_pe","not_in_labor_force_pe","employed_pop_pe","veterans_pe","public_admin_pe","other_services_pe","arts_ent_rec_pe","edu_health_social_pe","prof_scientific_pe","finance_insurance_pe","information_pe","transportation_pe","retail_trade_pe","wholesale_trade_pe","manufacturing_pe","construction_pe","agriculture_mining_pe","STATE","COUNTY","SUBREGION","total_death_rate","DOD_death_rate","State","County_Name","Population_2020","RUCC_2023","Description"
2015,1,1007,"Bibb County, Alabama",0,17.4,30,47.4,0.0601341837157293,0.129916897506925,0.109202851587816,0.155587808417997,0.105767585144617,0.0531490015360983,0.115019403847742,0.0768759571209801,0,1,0.167958780757933,0.171484285386557,0.219614325068871,0.198210922787194,0.152006172839506,0.134114007954043,0.133618059792556,0.142540310495714,0.294260307194826,0.0465116279069767,0,10.6,1.9,12.8,13.6,3.6,50.5,19.6,11.9,3.6,47.7,34.9,6.7,1.3,55.3,44.7,0,0,0.1,0,0,1.1,98.7,8971,18431,52241,307,551,452,1880,444,248,24,442,818,196,1614,889,429,23.7,19,17.8,17.9,21.5,0,4.1,50.7,45.2,6.7,3.7,6.6,5.4,22.7,5.4,3,0.3,5.3,9.9,2.4,19.5,10.7,5.2,"Alabama","Bibb","Southern",1457.06960165093,NA,"AL","Bibb County","22,293",1,"Metro - Counties in metro areas of 1 million population or more"
2015,1,1009,"Blount County, Alabama",1,16.7,25.4,42.1,0.0812289562289562,0.136608510848614,0.115839243498818,0.137541974479516,0.135879614869604,0.119953742640875,0.129650776789271,0.0719178082191781,0.0982142857142857,0.261538461538462,0.167209326751392,0.169034300014721,0.177754677754678,0.23223704623022,0.136729594669628,0.130906639703404,0.0815780078543377,0.164040404040404,0.143610013175231,0.0660377358490566,0.363636363636364,12.9,1.5,11.6,11.9,1.9,58.3,16.2,11.2,4,59.7,23.6,5.3,2,55.5,44.5,1,0,0.1,0,0,4.1,95.3,23860,20532,54884,1139,1551,1215,4625,1434,936,298,1553,2577,780,3547,1849,685,19.9,13.5,23.9,14.1,28.5,0.1,4,47.5,48.4,9.9,5.1,7,5.5,20.8,6.5,4.2,1.3,7,11.6,3.5,16,8.3,3.1,"Alabama","Blount","Southern",1520.38526512191,65.5555835707622,"AL","Blount County","59,134",1,"Metro - Counties in metro areas of 1 million population or more"
2015,1,1015,"Calhoun County, Alabama",1.3,18.9,29.3,48.2,0.114244588975371,0.176918472405124,0.16365237417869,0.19665419637185,0.179604453837176,0.161731333370233,0.182382214179539,0.144908526061443,0.131578947368421,0.294298921417565,0.205322089399835,0.20773654632525,0.277744294439087,0.288055624534393,0.210097719869707,0.155467014021914,0.129588920641899,0.156919770606305,0.385335889169644,0.20627802690583,0.0585215605749487,17.6,2.6,14.3,11.8,3.2,46.1,24.7,12.9,3.4,50.5,30.5,8.2,1.6,58,42,1,0.3,0.9,0,0,2.6,96.2,53296,21374,53457,3910,2164,4444,10493,3709,1792,710,2217,5666,1061,8198,2698,339,20.4,10.5,24.2,17.7,27.3,0.3,7.1,41.8,50.8,12,8.2,4.6,9.4,22.1,7.8,3.8,1.5,4.7,12,2.2,17.3,5.7,0.7,"Alabama","Calhoun","Southern",1827.14800531074,80.9255863943858,"AL","Calhoun County","116,441",3,"Metro - Counties in metro areas of fewer than 250,000 population"
2015,1,1017,"Chambers County, Alabama",0.6,21.6,32.4,54,0.0861729610038135,0.106601774079598,0.141898864809082,0.117717573723328,0.106998444790047,0.112054884024828,0.150068965517241,0.0538908765652952,0.333333333333333,0.319587628865979,0.215899308338528,0.272262838016383,0.338404272536009,0.381617647058824,0.264828107291273,0.223500536892161,0.145817633760362,0.151324281067685,0.30614041522999,0.368421052631579,0,11.6,2.9,14.4,15.2,2.8,41.7,25.9,15.1,3.6,46.4,32.1,9.2,1.8,58.6,41.4,0,0.6,0.8,0,0,1.1,98.7,16936,21071,49456,507,628,832,2539,1602,505,227,436,1601,333,3485,771,223,24.4,11.5,26.3,14.5,23.3,0.1,4.9,45.2,49.8,9.2,3.7,4.6,6.1,18.5,11.7,3.7,1.7,3.2,11.7,2.4,25.5,5.6,1.6,"Alabama","Chambers","Southern",1794.35820397263,66.7668168920047,"AL","Chambers County","34,772",6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
2015,1,1019,"Cherokee County, Alabama",0.1,16.4,26.3,42.7,0.0904046242774566,0.14769263113634,0.150554675118859,0.157567832625041,0.141963727329581,0.112684251357642,0.139876880984952,0.0599769319492503,0.716666666666667,0.333333333333333,0.192297165200391,0.199259259259259,0.203919967333606,0.261551504874947,0.177314656645029,0.168356456776948,0.129832474226804,0.182531688071854,0.275862068965517,0.0694444444444444,0.684782608695652,13.8,2.4,11.9,10.2,4.2,59.4,14.2,10.2,3.8,64.9,18.6,6.8,1.5,54.3,45.7,0.1,0,0.3,0,0,1,98.7,16242,21811,50591,688,509,654,2379,486,214,96,692,1130,209,2133,779,186,21.5,13.7,19.5,16,29.3,0,4.1,48.1,47.8,11.3,6.8,5,6.4,23.4,4.8,2.1,0.9,6.8,11.1,2.1,21,7.7,1.8,"Alabama","Cherokee","Southern",1810.22053719229,74.7583702675282,"AL","Cherokee County","24,971",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
2015,1,1021,"Chilton County, Alabama",4.1,15.6,26.5,42.1,0.0833988621120311,0.155249933879926,0.131384159881569,0.122496275451084,0.165433173704832,0.122439620911036,0.148148148148148,0.106280193236715,0.0808823529411765,0.345794392523364,0.191488378540733,0.205075227802501,0.221614570267423,0.236087328767123,0.181220657276995,0.144088080421254,0.0832869080779944,0.162440309566936,0.318912797281993,0.0632911392405063,0.388888888888889,14.1,1.3,12.3,11.5,2.7,52.3,21.2,11.2,3.1,56.5,27.9,6,2,55.3,44.7,4.1,0,0.3,0,0,5.3,94.2,19247,21399,55546,1052,1132,945,2824,1196,1097,189,1305,2397,420,2537,2223,578,19.5,15.3,23.7,14.3,27.2,0,5.2,42.6,52.1,9.9,5.9,6.3,5.3,15.8,6.7,6.1,1.1,7.3,13.4,2.3,14.2,12.4,3.2,"Alabama","Chilton","Southern",1713.49546328465,84.3255641380241,"AL","Chilton County","45,014",1,"Metro - Counties in metro areas of 1 million population or more"
2015,1,1027,"Clay County, Alabama",1.4,21.7,28,49.7,0.0535152151101784,0.111623246492986,0.0933852140077821,0.0427745664739884,0.115821347464042,0.102072741493938,0.101123595505618,0.0506706408345753,0,NA,0.166502761177094,0.157060769632596,0.223426212590299,0.174541947926712,0.244269810085134,0.144560357675112,0.074735987002437,0.135384899732003,0.277399056109072,0.517241379310345,NA,9.6,2.3,9.9,14,4.1,51.6,20.5,15.4,4,53,25.2,9.3,2.4,54.4,45.6,1.4,0,0,0,0,2.1,97.8,6738,18905,44846,406,214,187,861,262,176,115,224,535,42,1603,303,252,29.1,15.3,20.8,13.3,21.5,0,4.9,47.7,47.4,10.7,7.8,4.1,3.6,16.6,5.1,3.4,2.2,4.3,10.3,0.8,30.9,5.8,4.9,"Alabama","Clay","Southern",1959.35383011985,NA,"AL","Clay County","14,236",9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
2015,1,1029,"Cleburne County, Alabama",0.6,17,30.1,47.1,0.0684483228797382,0.140178239881173,0.183262064752596,0.10550227158001,0.128526645768025,0.0809792843691149,0.118962887646162,0.104109589041096,0,0.517241379310345,0.16972321851526,0.152692472503928,0.198811826471401,0.115740740740741,0.178154825026511,0.153963028614839,0.0448634590377113,0.156407306198763,0.259168704156479,0,0.0566037735849057,12.1,2,14.1,12.1,3.9,53.9,16,10.8,4.2,59.7,23.4,6,0.8,55.7,44.3,0.6,0,0.4,0,0,1.5,98.2,6692,20151,50244,313,243,385,1103,269,176,40,349,858,124,1198,717,290,20.7,15.6,23.1,11.7,28.9,0,4.6,44.2,51.1,6.8,5.2,4,6.3,18.2,4.4,2.9,0.7,5.8,14.1,2,19.8,11.8,4.8,"Alabama","Cleburne","Southern",1953.80173243503,NA,"AL","Cleburne County","15,056",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
2015,1,1033,"Colbert County, Alabama",1.3,18.2,29.5,47.7,0.118579629700034,0.195741724155045,0.207992448080554,0.219257012888552,0.18437992643195,0.151327163632666,0.191352080123267,0.142533147243545,0.445497630331754,0.406862745098039,0.174201314936568,0.186235549132948,0.221004184100418,0.187523417010116,0.238372093023256,0.138869558493776,0.102515324455718,0.148211005974938,0.255245174439516,0.182410423452769,0,18.6,1.9,15,12,2.5,48,22.4,12.8,3.5,54.6,27.2,6.7,2.5,57.1,42.9,1.3,0,0.3,0.2,0,1.9,97.7,26068,22546,53233,715,1173,1704,4128,1954,1242,211,1285,2807,471,3940,1381,279,20.7,10.7,25.7,15.5,27.3,0.1,4.8,47,48.2,9.5,3.4,5.5,8,19.4,9.2,5.8,1,6,13.2,2.2,18.5,6.5,1.3,"Alabama","Colbert","Southern",1903.64277320799,70.5052878965922,"AL","Colbert County","57,227",3,"Metro - Counties in metro areas of fewer than 250,000 population"
2015,1,1037,"Coosa County, Alabama",0,25.3,32.6,57.9,0.034952500448109,0.118511263467189,0.0655577299412916,0.122758620689655,0.0589220888020106,0.113255459624175,0.0944424264438794,0.064686737184703,0,NA,0.192837209302326,0.230014360938248,0.266283524904215,0.337612323491656,0.252621544327931,0.22732404968009,0.109947643979058,0.140766073871409,0.323821339950372,0,NA,8.5,3.4,12,17.4,3.2,45.3,22.1,17.7,4.2,44.1,30.6,4.9,1.1,55.2,44.8,0,0,0,0,0,1.8,97.8,6462,17519,41365,306,196,290,582,338,104,22,415,346,69,865,252,67,27.6,12.7,21.9,19.8,18,0,8.6,49.7,41.7,9.4,7.9,5.1,7.5,15.1,8.8,2.7,0.6,10.8,9,1.8,22.5,6.5,1.7,"Alabama","Coosa","Southern",1864.13111472538,NA,"AL","Coosa County","10,387",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
