"Year","State_fip","FIPS","County","total_asian_pacific_pop","DSW_male","DSW_female","total_DSW","BA_higher_ratio_male","BA_higher_ratio_female","BA_higher_ratio_2534","BA_higher_ratio_3544","BA_higher_ratio_4564","BA_higher_ratio_65","BA_higher_ratio_white","BA_higher_ratio_black","BA_higher_ratio_native","BA_higher_ratio_asian_pacific","below_poverty_ratio","below_poverty_ratio_male","below_poverty_ratio_female","below_poverty_ratio_2534","below_poverty_ratio_3544","below_poverty_ratio_4564","below_poverty_ratio_65","below_poverty_ratio_white","below_poverty_ratio_black","below_poverty_ratio_native","below_poverty_ratio_asian_pacific","BA_higher_ratio","male_seperated","female_divorced","female_widowed","female_seperated","female_married","female_never_married","male_divorced","male_widowed","male_married","male_never_married","female_nospouse_withchildren","male_nospouse_withchildren","total_female_pop","total_male_pop","total_pacific_pop","total_asian_pop","total_native","total_black","total_white","foreign_born","US_born","total_housing_unitsE","per_capita_income","mean_household_income","public_admin","other_services","arts_ent_rec","edu_health_social","prof_scientific","finance_insurance","information","transportation","retail_trade","wholesale_trade","manufacturing","construction","agriculture_mining","production_pe","natural_resources_pe","sales_pe","service_pe","management_pe","armed_forces_pe","unemployed_pop_pe","not_in_labor_force_pe","employed_pop_pe","veterans_pe","public_admin_pe","other_services_pe","arts_ent_rec_pe","edu_health_social_pe","prof_scientific_pe","finance_insurance_pe","information_pe","transportation_pe","retail_trade_pe","wholesale_trade_pe","manufacturing_pe","construction_pe","agriculture_mining_pe","drive_alone","carpool","public_transportation","walk","total_death_rate","DOD_death_rate","Mental_health_providers","Primary_care_physicians","MHP_ratio","PCP_ratio","Median_household_income","Avg_mentally_unhealthy_days","Alcohol_impaired_driving_deaths","Excessive_drinking","Teen_birth_rate","Poor_fair_health","Adult_smoking","Children_in_poverty","Severe_housing_problems","Health_rank_population","State","County_Name","Population_2020","RUCC_2023","Description"
2015,51,51001,"Accomack County, Virginia",1.3,15.5,27,42.5,0.130979710864305,0.187233700458236,0.205588235294118,0.166203446359088,0.184423739112822,0.195042785482443,0.235422826729746,0.0696701528559936,0.144578313253012,0.0833333333333333,0.195936406604874,0.20388829392866,0.290049714328115,0.24618320610687,0.219662058371736,0.193969578678153,0.0936170212765957,0.132090798321224,0.324837368028154,0,0.145833333333333,18.8,3.6,8.3,14.3,4.4,49.4,23.6,8.6,3.3,56.1,28.4,7.3,1.4,54.8,45.2,1.3,0,0.1,0,0,6.7,92.7,21031,23231,54242,1154,564,1514,3073,1264,300,124,329,1658,490,2217,916,693,15.4,14.2,20.5,16.8,33.1,0.5,3.9,42.5,53.1,12.4,8.1,3.9,10.6,21.5,8.8,2.1,0.9,2.3,11.6,3.4,15.5,6.4,4.8,79.9,11.2,0.5,4,1766.90309312964,83.9383892223108,23,15,NA,NA,38064,3.2,35,15,60,20,21,NA,19,33148,"VA","Accomack County","33,413",9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
2015,51,51003,"Albemarle County, Virginia",1.8,10.9,21.6,32.5,0.343239137040413,0.511015377903806,0.548716040193524,0.565510918486414,0.525001832978957,0.440210089165751,0.544090441932169,0.202629416598192,0.4,0.731526178982547,0.101879431136469,0.113487347607827,0.124308807266053,0.155372207286549,0.111666146321157,0.0935329590351424,0.0246465657450269,0.0873178231534542,0.208338092518561,0.204166666666667,0.113959320144887,51.7,1.9,10.6,9.3,1.7,48.2,30.2,6.4,2.6,54.2,34.9,4.5,1,56.7,43.3,1.3,0.5,4.4,0,0,10.1,88.4,43579,37474,96973,2288,2516,4586,17792,5828,2762,851,1284,4152,741,2015,2707,684,6,6.5,18,15.3,54.1,0.4,2.2,39.8,57.6,8.5,4.7,5.2,9.5,36.9,12.1,5.7,1.8,2.7,8.6,1.5,4.2,5.6,1.4,78,7.6,2,3.7,1206.27431155299,35.1069357262221,89,140,NA,NA,70032,2.3,39,14,12,6,12,NA,15,103000,"VA","Albemarle County","112,395",3,"Metro - Counties in metro areas of fewer than 250,000 population"
2015,51,51005,"Alleghany County, Virginia",0.5,17.6,29.9,47.5,0.107124746450304,0.166036495150419,0.130141604855024,0.198169089929995,0.165992764417961,0.137469911741107,0.159647848974406,0.0744500846023689,1,0.767441860465116,0.170123691722169,0.159719411844058,0.195663531870428,0.308866279069767,0.141142857142857,0.126867335562988,0.126152353226589,0.155105381624719,0.342398022249691,0,0,15.7,0.6,12.4,15.1,2.4,52.1,18.1,11.3,5.7,56.5,25.9,3.5,1.8,54.7,45.3,0.4,0.1,0.2,0,0,1.4,98.2,8063,24118,55400,274,379,571,1627,393,185,100,352,678,84,1275,440,181,21,14.2,17.4,18.5,29,0,2.6,48.1,49.2,10,4.2,5.8,8.7,24.9,6,2.8,1.5,5.4,10.4,1.3,19.5,6.7,2.8,85.9,9.3,1,0.9,1614.72350030385,NA,2,12,NA,NA,44983,4.1,27,NA,45,16,25,NA,14,16161,"VA","Alleghany County","15,223",6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
2015,51,51007,"Amelia County, Virginia",0.3,14.9,21.8,36.7,0.0703943314849045,0.183576956147893,0.162977867203219,0.230071289695399,0.106898987520603,0.152193375111907,0.150155279503106,0.131188118811881,0.108695652173913,1,0.116146861429135,0.15408560311284,0.140959103176251,0.292792792792793,0.0624540778839089,0.140845070422535,0.0712166172106825,0.0866429878376924,0.216233766233766,0,0,14.5,1.9,7.9,12.9,1,57.6,20.6,10.5,2.5,57.4,27.7,6.2,1.7,54.6,45.4,0.3,0,0.1,0,0,0.3,99.4,5414,24868,66665,435,275,318,1217,444,425,12,259,837,201,628,367,268,11.9,14.6,30.1,17.1,26.2,0,2.9,42,55.1,9.8,7.7,4.8,5.6,21.4,7.8,7.5,0.2,4.6,14.7,3.5,11,6.5,4.7,83.9,9.5,0.9,1.1,1500.1079214332,NA,4,1,NA,NA,52055,4.3,18,NA,39,13,20,NA,19,12745,"VA","Amelia County","13,265",1,"Metro - Counties in metro areas of 1 million population or more"
2015,51,51009,"Amherst County, Virginia",0.8,15.3,25,40.3,0.113279483037157,0.199204872272035,0.210151655834107,0.167993630573248,0.207954901346696,0.137271640771726,0.195891499262286,0.128364905284148,0.318681318681319,0.275641025641026,0.130247680979248,0.168054443554844,0.152225542020991,0.151949963208241,0.113861386138614,0.134960609582849,0.0519528371407517,0.109594157191468,0.199170841250648,0.145038167938931,0.151111111111111,18.3,2.1,10,11.6,3.4,48.1,26.9,10,3.2,52.3,32.5,5.9,1.6,56,44,0.8,0,0.7,0,0.1,2,97.4,14058,23469,58437,633,927,928,3783,1062,875,79,588,1789,306,2362,1140,191,15.3,10.4,25.3,20.5,28.5,0,3.9,40.9,55.2,10,4.3,6.3,6.3,25.8,7.2,6,0.5,4,12.2,2.1,16.1,7.8,1.3,82.4,9.9,1.3,2,1376.26819585355,NA,5,6,NA,NA,47268,2.9,19,NA,31,20,16,NA,10,32178,"VA","Amherst County","31,307",2,"Metro - Counties in metro areas of 250,000 to 1 million population"
2015,51,51011,"Appomattox County, Virginia",0.2,15.2,26,41.2,0.115087433916226,0.186058792466115,0.241360394953374,0.140141227593699,0.181647940074906,0.152650176678445,0.199649737302977,0.0656063618290258,0,0.529411764705882,0.176501720031754,0.193783068783069,0.229131566855567,0.205228758169935,0.235933503836317,0.161244292237443,0.101805054151625,0.154305709652641,0.262161279791055,0,0,17.7,3.1,13,9.5,3.5,51.1,22.8,8.7,3.4,57.8,27,7.8,2,54.6,45.4,0.2,0,0.1,0,0,0.7,98.7,7051,23941,59932,479,332,267,1679,419,393,80,329,742,134,924,575,179,16.8,12.1,22.8,17.4,30.9,0.1,3.7,42.8,53.3,11.9,7.3,5.1,4.1,25.7,6.4,6,1.2,5,11.4,2.1,14.1,8.8,2.7,80.8,9.5,0.5,0.9,1529.16399597106,NA,1,2,NA,NA,44062,3.1,29,NA,40,13,25,NA,11,15255,"VA","Appomattox County","16,119",2,"Metro - Counties in metro areas of 250,000 to 1 million population"
2015,51,51013,"Arlington County, Virginia",6.9,9.1,14.9,24,0.547890291591522,0.726810102014249,0.805070212903643,0.761519540858158,0.675118635888362,0.569692496924969,0.798586939996959,0.442114460463084,0.31013916500994,0.723901098901099,0.0903933348703274,0.106252544640261,0.127873986084786,0.103229800846146,0.0952468613084938,0.0810093987382516,0.0811004295356924,0.0549512483796427,0.185810625582543,0.325663716814159,0.136218740178692,72.9,1.4,8.7,4.7,1.5,41.1,44,6.5,1.2,44.7,46.2,3,0.9,55.4,44.6,5.9,1,9.9,0,0,23,74.6,109443,63579,138377,24613,9528,11014,22047,40002,10747,4417,2548,6139,1258,2745,6079,168,2.7,3.5,14.9,10.9,68,1.4,2.8,21.4,74.4,6.9,17.4,6.7,7.8,15.6,28.3,7.6,3.1,1.8,4.3,0.9,1.9,4.3,0.1,54.2,6,26.4,4.9,519.24412058132,23.3368144081492,265,154,NA,NA,101533,2.2,17,19,20,8,10,NA,14,224906,"VA","Arlington County","238,643",1,"Metro - Counties in metro areas of 1 million population or more"
2015,51,51015,"Augusta County, Virginia",0.9,15.3,22.5,37.8,0.142975427350427,0.238977204559088,0.239071375648308,0.269158878504673,0.214820392434779,0.183971662607926,0.226452865693752,0.0782493368700265,0.275590551181102,0.315492957746479,0.0952516470538014,0.0772889417360285,0.119442848937392,0.0985894798707023,0.117361543248289,0.0645130459715187,0.0487647967061245,0.0896661984878821,0.180327868852459,0.101522842639594,0.168776371308017,22,1.9,10.1,10.3,2.1,58.3,19.2,10.3,3.1,56.3,28.4,4.7,2.2,52.8,47.2,0.8,0.1,0.6,0,0,1.6,97.2,31724,27000,69443,1221,1629,2303,8972,2366,1130,596,2371,4190,930,5017,2679,881,19.3,10,22.4,17.2,31.1,0.2,2.8,40.8,56.2,10.4,3.6,4.8,6.7,26.2,6.9,3.3,1.7,6.9,12.2,2.7,14.6,7.8,2.6,86.6,6.5,0.4,1.3,1264.55536601647,61.1881628717644,40,29,NA,NA,54834,2.8,31,12,31,11,18,NA,11,73912,"VA","Augusta County","77,487",3,"Metro - Counties in metro areas of fewer than 250,000 population"
2015,51,51017,"Bath County, Virginia",0.1,24.5,27.2,51.7,0.146439767129422,0.232004429678848,0.226351351351351,0.267343485617597,0.232977303070761,0.166344294003868,0.227863777089783,0.072992700729927,NA,NA,0.0773172905525847,0.0891136801541426,0.0744827586206896,0.0666666666666667,0.101045296167247,0.0486600846262341,0.134191176470588,0.0788107597923549,0.0616438356164384,NA,NA,21.8,4.1,14.3,10.1,2.8,55.5,17.3,17.3,3.1,54.7,20.8,3.6,3.6,51.7,48.3,0.1,0,0,0,0,3.1,96.6,3394,32166,68991,77,117,666,441,85,82,31,138,250,47,150,141,85,12.5,10.6,23.3,25.2,28.5,0,3.9,35.4,60.7,11.7,3.3,5.1,28.8,19.1,3.7,3.5,1.3,6,10.8,2,6.5,6.1,3.7,84.5,6.7,1.1,4.3,1952.78344505975,NA,NA,2,NA,NA,42951,NA,0,NA,18,NA,NA,NA,9,4616,"VA","Bath County","4,209",9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
2015,51,51019,"Bedford County, Virginia",0.4,14.1,22.8,36.9,0.183032981073815,0.275185502283105,0.293434633027523,0.344253314342062,0.269911321922046,0.200378734745406,0.274975868725869,0.133297787256732,0.573333333333333,0.4464,0.097184138367433,0.099151613089398,0.110636384079154,0.134754045825989,0.0790513833992095,0.0858664299977812,0.061744966442953,0.0800954178923183,0.252336448598131,0,0.248991935483871,26.7,1.5,11,9.9,1.9,57.2,20,9.2,3.4,61.3,24.7,4.6,1.8,52.8,47.2,0.2,0.2,1.3,0,0,1.9,97.2,35546,28524,70366,1792,1990,2418,7928,3080,2001,546,2293,4670,1003,4885,2756,394,14.9,11,24.5,14.9,34.6,0.1,3.6,38.9,57.5,11.6,5,5.6,6.8,22.2,8.6,5.6,1.5,6.4,13.1,2.8,13.7,7.7,1.1,83.3,9.9,0.4,0.8,1316.26074498567,64.4699140401146,23,46,NA,NA,56888,4.2,37,17,24,18,19,NA,11,69825,"VA","Bedford County","79,462",2,"Metro - Counties in metro areas of 250,000 to 1 million population"
