"Year","State_fip","FIPS","County","total_asian_pacific_pop","DSW_male","DSW_female","total_DSW","BA_higher_ratio_male","BA_higher_ratio_female","BA_higher_ratio_2534","BA_higher_ratio_3544","BA_higher_ratio_4564","BA_higher_ratio_65","BA_higher_ratio_white","BA_higher_ratio_black","BA_higher_ratio_native","BA_higher_ratio_asian_pacific","below_poverty_ratio","below_poverty_ratio_male","below_poverty_ratio_female","below_poverty_ratio_2534","below_poverty_ratio_3544","below_poverty_ratio_4564","below_poverty_ratio_65","below_poverty_ratio_white","below_poverty_ratio_black","below_poverty_ratio_native","below_poverty_ratio_asian_pacific","BA_higher_ratio","male_seperated","female_divorced","female_widowed","female_seperated","female_married","female_never_married","male_divorced","male_widowed","male_married","male_never_married","female_nospouse_withchildren","male_nospouse_withchildren","total_female_pop","total_male_pop","total_pacific_pop","total_asian_pop","total_native","total_black","total_white","foreign_born","US_born","total_housing_unitsE","per_capita_income","mean_household_income","public_admin","other_services","arts_ent_rec","edu_health_social","prof_scientific","finance_insurance","information","transportation","retail_trade","wholesale_trade","manufacturing","construction","agriculture_mining","production_pe","natural_resources_pe","sales_pe","service_pe","management_pe","armed_forces_pe","unemployed_pop_pe","not_in_labor_force_pe","employed_pop_pe","veterans_pe","public_admin_pe","other_services_pe","arts_ent_rec_pe","edu_health_social_pe","prof_scientific_pe","finance_insurance_pe","information_pe","transportation_pe","retail_trade_pe","wholesale_trade_pe","manufacturing_pe","construction_pe","agriculture_mining_pe","total_death_rate","DOD_death_rate","Mental_health_providers","Primary_care_physicians","MHP_ratio","PCP_ratio","Median_household_income","Avg_mentally_unhealthy_days","Alcohol_impaired_driving_deaths","Excessive_drinking","Teen_birth_rate","Poor_fair_health","Adult_smoking","Children_in_poverty","Severe_housing_problems","Health_rank_population","Locality.Name","Health.District","Death.Count","VDH_death_rate","State","County_Name","Population_2020","RUCC_2023","Description"
2018,51,51001,"Accomack County, Virginia",0.2,17.2,27.4,44.6,0.123573545173696,0.195500890111669,0.185584562996595,0.17688679245283,0.191417753470761,0.181564635336773,0.231168057210965,0.0573047858942065,0.557377049180328,0.397058823529412,0.198728238054081,0.237197431253087,0.273405073020753,0.264128256513026,0.243982048143615,0.180746561886051,0.111297539149888,0.154676421442442,0.298193725573043,0.0340909090909091,0.202702702702703,18.5,3.9,9.8,13,4.6,47.8,24.9,8.8,4.5,50.8,32,6.9,1.8,52.3,47.7,0,0.2,0.5,29.2,68.3,6.4,92.6,21251,24355,57996,1223,503,1093,2814,1090,352,66,483,1399,410,2447,1152,785,20.5,14.8,16.6,17.4,30.7,0.3,2.3,45.6,51.9,10.5,8.9,3.6,7.9,20.4,7.9,2.5,0.5,3.5,10.1,3,17.7,8.3,5.7,0.0199671426766081,0.000716121150848814,26,16,0.000789,0.000485,39040,3.8,36,15,38,20,16,32,16,32947,"Accomack County","Eastern Shore",5,15.4,"VA","Accomack County","33,413",9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
2018,51,51003,"Albemarle County, Virginia",5.3,11.8,22.6,34.4,0.359053012427246,0.530405139635505,0.554819934521644,0.556597564988483,0.555301379811184,0.477150756220524,0.567417305947373,0.179530983071906,0.216216216216216,0.704238052299369,0.0978349900395385,0.106078665077473,0.122087899672353,0.135352229711015,0.124987501249875,0.0859614496283543,0.0439235561186781,0.0850395433265289,0.170935703084161,0.243243243243243,0.161370857921017,53.5,2.2,11.1,9.1,2.4,46.6,30.8,6.6,3,53.5,34.7,4.8,1.3,52.9,47.1,0,5.3,0.2,9.8,81.6,10.8,87.8,44886,42085,107948,2336,2985,5244,18275,6686,3000,803,1341,4848,646,2142,3010,687,5.9,6.3,18,16.2,53.6,0.4,1.8,38.1,59.8,7.7,4.5,5.7,10.1,35.1,12.9,5.8,1.5,2.6,9.3,1.2,4.1,5.8,1.3,0.0116490717145977,0.000458412544324448,112,157,0.001048,0.001486,73132,3.3,41,19,7,13,12,9,15,106878,"Albemarle County","Blue Ridge",6,5.5,"VA","Albemarle County","112,395",3,"Metro - Counties in metro areas of fewer than 250,000 population"
2018,51,51005,"Alleghany County, Virginia",0.1,19.8,31.2,51,0.10718085106383,0.159028727770178,0.127619047619048,0.246514575411914,0.138316527838667,0.144622297107554,0.158764845605701,0.0736086175942549,NA,0.277777777777778,0.202342704149933,0.200197935812244,0.22242214532872,0.307586206896552,0.209180327868852,0.164053624176324,0.111924686192469,0.181250453852298,0.394670050761421,NA,0,15.4,1.8,13.4,16.4,1.4,47.1,21.8,12.3,5.7,52.4,27.8,5,1.3,51.5,48.5,0,0.1,0,5.4,92,1,98.9,8034,26918,60513,170,398,475,1327,300,314,86,417,725,84,1218,427,113,23,12.4,20.9,16.3,27.4,0.1,2.8,49.9,47.2,8.9,2.8,6.6,7.8,21.9,5,5.2,1.4,6.9,12,1.4,20.1,7.1,1.9,0.0201828219748394,NA,4,9,0.000256,0.000574,47037,3.8,21,15,29,16,16,22,14,15595,"Alleghany County","Alleghany",1,6.7,"VA","Alleghany County","15,223",6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
2018,51,51007,"Amelia County, Virginia",0,15.5,24.5,40,0.0920024052916416,0.182989118365534,0.0650344299923489,0.294258373205742,0.162215628090999,0.134432989690722,0.157825322391559,0.145575642245481,0,NA,0.133766946164094,0.175086631406165,0.152823240589198,0.158406219630709,0.14500442086649,0.112745098039216,0.175040518638574,0.104218362282878,0.257553426676492,0,NA,15.9,3.5,8.2,14.9,1.4,53,22.5,9.3,2.7,56.6,27.9,3.7,3.8,51.2,48.8,0,0,0.2,21.3,75.8,1,98.5,5543,29114,74185,497,327,397,1230,652,336,79,380,761,108,575,705,194,13.6,20.2,21.6,17.4,27.3,0,1.7,38.3,60,9.6,8,5.2,6.4,19.7,10.4,5.4,1.3,6.1,12.2,1.7,9.2,11.3,3.1,0.0158207687407093,NA,6,2,0.000465,0.000155,56172,3.5,47,17,25,15,16,16,16,12913,"Amelia County","Piedmont",1,7.7,"VA","Amelia County","13,265",1,"Metro - Counties in metro areas of 1 million population or more"
2018,51,51009,"Amherst County, Virginia",0.6,17.1,26.8,43.9,0.114793592915744,0.215293430169463,0.231587790534864,0.217674970344009,0.184094097334628,0.168389724310777,0.201276167021157,0.134015345268542,0,0.517241379310345,0.139483941629353,0.183689882580023,0.158666149670415,0.13958560523446,0.155715263518138,0.124377439763091,0.0663076405250757,0.122665552538124,0.189586357039187,0,0.0892857142857143,19.2,3.1,12,11.3,3.5,48.8,24.4,10.7,3.3,49.8,33.1,5.1,1.8,52.9,47.1,0.1,0.5,0.4,17.8,77.2,1.7,97.4,14167,24343,61676,571,913,946,3859,1175,837,173,542,1811,198,2396,914,178,19.3,9.7,22.3,21.3,27.4,0,3.6,41.3,55.1,9.9,3.9,6.3,6.5,26.6,8.1,5.8,1.2,3.7,12.5,1.4,16.5,6.3,1.2,0.0157680346896763,NA,5,5,0.000158,0.000157,46497,3.7,18,16,25,16,17,21,12,31633,"Amherst County","Central Virginia",0,0,"VA","Amherst County","31,307",2,"Metro - Counties in metro areas of 250,000 to 1 million population"
2018,51,51011,"Appomattox County, Virginia",0.2,15.3,23.2,38.5,0.114901494116092,0.227750043036667,0.285714285714286,0.175743964065132,0.196047251249432,0.161290322580645,0.213087059353531,0.120511559272012,0,0.619047619047619,0.135339316846387,0.150350765306122,0.175094912680334,0.146089204912734,0.185400516795866,0.119943820224719,0.0438056125941136,0.106303463167511,0.233939000648929,0,0.375,19.8,2.7,11.4,9.8,2,54.6,22.2,9.3,3.3,59.8,24.9,6.6,2.1,51.8,48.2,0,0.2,0.1,19.8,77.8,1.2,98.4,7264,26890,68207,404,381,344,1846,431,382,72,348,800,67,1044,622,222,14.1,12.3,24.1,17.9,31.7,0.1,2.2,42.4,55.3,11.1,5.8,5.5,4.9,26.5,6.2,5.5,1,5,11.5,1,15,8.9,3.2,0.0172352837192858,NA,2,2,0.000129,0.00013,51431,3.8,33,16,31,16,17,20,13,15475,"Appomattox County","Central Virginia",1,6.3,"VA","Appomattox County","16,119",2,"Metro - Counties in metro areas of 250,000 to 1 million population"
2018,51,51013,"Arlington County, Virginia",10.5,9,15.1,24.1,0.553406608587537,0.743868832801024,0.829761196566669,0.77017287303494,0.70248857875359,0.590001277519908,0.815586064598048,0.445257398984905,0.429738562091503,0.757032007759457,0.0715081845400704,0.0814073021703224,0.108115639150122,0.0932275368797497,0.0604278467985003,0.0651877993445929,0.101996851437567,0.0455705320733524,0.160951714485654,0.154501216545012,0.124839017905363,74.6,1.4,8.9,5.1,1.1,42.7,42.2,6.3,1.3,46.1,44.9,3.1,1.1,50.3,49.7,0.1,10.4,0.4,9,71.4,23.6,73.6,113084,69051,149525,24868,10463,10817,21802,41832,10136,4972,3275,5886,1203,3188,6929,250,2.9,4.5,13.6,9.8,69.1,1.7,2.3,21.3,74.7,6.7,17.1,7.2,7.4,15,28.7,7,3.4,2.2,4,0.8,2.2,4.8,0.2,0.00485156718763393,0.000205720163433241,322,169,0.001401,0.000737,108635,3.1,20,26,13,12,12,8,15,230050,"Arlington County","Arlington",12,5.1,"VA","Arlington County","238,643",1,"Metro - Counties in metro areas of 1 million population or more"
2018,51,51015,"Augusta County, Virginia",0.7,14.8,24,38.8,0.158350265192495,0.251247920133111,0.224015187470337,0.268384448751568,0.235591551816717,0.221914850549895,0.240345968949484,0.0886927280369903,0.343434343434343,0.622093023255814,0.0921557562076749,0.0724329577550339,0.119513530649298,0.0978717446093531,0.107549668874172,0.0727627407949281,0.0706973383114537,0.0902132475577794,0.178485576923077,0,0.00219298245614035,23.5,1.6,9.6,11.3,3.1,56.4,19.6,9.9,3.3,57.7,27.4,3.7,1.9,49.4,50.6,0.1,0.6,0.2,4.2,92.7,2.3,96.8,32345,29366,73950,1569,1794,2321,8875,2661,1118,387,2363,4672,1118,4817,2720,751,18.5,10.3,22.8,15.5,33,0.3,2.1,40.9,56.7,9.9,4.5,5.1,6.6,25.2,7.6,3.2,1.1,6.7,13.3,3.2,13.7,7.7,2.1,0.012644072076622,0.00075756209303584,43,35,0.000573,0.000471,56784,3.3,36,18,21,13,16,12,10,74997,"Augusta County","Central Shenandoah",10,13.3,"VA","Augusta County","77,487",3,"Metro - Counties in metro areas of fewer than 250,000 population"
2018,51,51017,"Bath County, Virginia",0.4,17,25.8,42.8,0.102597402597403,0.160746538229982,0.190779014308426,0.277292576419214,0.0945378151260504,0.141040462427746,0.152167134393514,0,NA,1,0.112918215613383,0.14657104437472,0.0825116761805916,0.121869782971619,0.273563218390805,0.0787172011661808,0.113895216400911,0.0948977076657629,0.378378378378378,NA,0,14.9,1.5,15.1,9.4,1.3,48.7,25.6,8.9,6.6,47.9,35.3,0.8,3.9,50.4,49.6,0,0.4,0,1.8,94.2,1.8,97.9,3302,29127,61463,54,21,532,384,100,109,36,64,285,24,204,218,61,12.8,11.3,25.7,30.5,19.7,0,5.4,38.9,55.8,7.1,2.6,1,25.4,18.4,4.8,5.2,1.7,3.1,13.6,1.1,9.8,10.4,2.9,0.0222882615156018,NA,1,3,0.000223,0.000671,47059,3.8,17,15,26,16,16,18,11,4476,"Bath County","Central Shenandoah",1,23.3,"VA","Bath County","4,209",9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
2018,51,51019,"Bedford County, Virginia",1.4,14.3,22.2,36.5,0.198715605910301,0.298839859125751,0.318729903536977,0.344771241830065,0.291421568627451,0.239641798574762,0.294736223710492,0.193381592554292,0.461538461538462,0.442333785617368,0.0911596134190677,0.0904194361677745,0.108350509720907,0.109042157008789,0.0778023119885699,0.0918290355510186,0.0608512524939038,0.0796899582858215,0.176447876447876,0,0.241347905282332,28.9,1.4,10.1,10,2.1,58.1,19.7,9.9,3,61,24.6,3.9,1.5,51.1,48.9,0,1.4,0.1,6.8,89.6,2.8,96.2,36565,31796,78489,1440,2361,2565,9073,3591,2131,476,2299,4331,849,5116,2512,320,15.7,9.5,23.4,15.8,35.6,0,2.4,39.9,57.6,10.5,3.9,6.4,6.9,24.5,9.7,5.7,1.3,6.2,11.7,2.3,13.8,6.8,0.9,0.014407916514225,0.000592344814369588,28,51,0.000359,0.000656,55708,3.4,44,18,18,13,15,13,12,77960,"Bedford County","Central Virginia",8,10.2,"VA","Bedford County","79,462",2,"Metro - Counties in metro areas of 250,000 to 1 million population"
