"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Alabama"	"01"	2333	3345373	69.7
	"2018"	"2018"	"Alaska"	"02"	458	483245	94.8
	"2018"	"2018"	"Arizona"	"04"	4202	4841593	86.8
	"2018"	"2018"	"Arkansas"	"05"	1396	2030067	68.8
	"2018"	"2018"	"California"	"06"	15427	26821695	57.5
	"2018"	"2018"	"Colorado"	"08"	3136	3903501	80.3
	"2018"	"2018"	"Connecticut"	"09"	1837	2490603	73.8
	"2018"	"2018"	"Delaware"	"10"	628	679747	92.4
	"2018"	"2018"	"District of Columbia"	"11"	394	500819	78.7
	"2018"	"2018"	"Florida"	"12"	11744	15316063	76.7
	"2018"	"2018"	"Georgia"	"13"	4159	7003377	59.4
	"2018"	"2018"	"Hawaii"	"15"	524	995834	52.6
	"2018"	"2018"	"Idaho"	"16"	861	1144468	75.2
	"2018"	"2018"	"Illinois"	"17"	5569	8707504	64.0
	"2018"	"2018"	"Indiana"	"18"	3611	4467771	80.8
	"2018"	"2018"	"Iowa"	"19"	1113	2106348	52.8
	"2018"	"2018"	"Kansas"	"20"	1192	1910809	62.4
	"2018"	"2018"	"Kentucky"	"21"	2848	3041841	93.6
	"2018"	"2018"	"Louisiana"	"22"	2303	3138713	73.4
	"2018"	"2018"	"Maine"	"23"	844	980876	86.0
	"2018"	"2018"	"Maryland"	"24"	3392	4171210	81.3
	"2018"	"2018"	"Massachusetts"	"25"	3957	4833363	81.9
	"2018"	"2018"	"Michigan"	"26"	5508	6869308	80.2
	"2018"	"2018"	"Minnesota"	"27"	2082	3806928	54.7
	"2018"	"2018"	"Mississippi"	"28"	1164	1988465	58.5
	"2018"	"2018"	"Missouri"	"29"	3420	4183237	81.8
	"2018"	"2018"	"Montana"	"30"	541	734426	73.7
	"2018"	"2018"	"Nebraska"	"31"	653	1261719	51.8
	"2018"	"2018"	"Nevada"	"32"	1859	2096606	88.7
	"2018"	"2018"	"New Hampshire"	"33"	922	972151	94.8
	"2018"	"2018"	"New Jersey"	"34"	4497	6188871	72.7
	"2018"	"2018"	"New Mexico"	"35"	1816	1415820	128.3
	"2018"	"2018"	"New York"	"36"	7219	13673941	52.8
	"2018"	"2018"	"North Carolina"	"37"	5002	7099141	70.5
	"2018"	"2018"	"North Dakota"	"38"	338	496667	68.1
	"2018"	"2018"	"Ohio"	"39"	7208	8027919	89.8
	"2018"	"2018"	"Oklahoma"	"40"	2189	2606913	84.0
	"2018"	"2018"	"Oregon"	"41"	2226	2952102	75.4
	"2018"	"2018"	"Pennsylvania"	"42"	7401	8997867	82.3
	"2018"	"2018"	"Rhode Island"	"44"	602	741199	81.2
	"2018"	"2018"	"South Carolina"	"45"	2674	3509959	76.2
	"2018"	"2018"	"South Dakota"	"46"	394	581200	67.8
	"2018"	"2018"	"Tennessee"	"47"	4121	4650000	88.6
	"2018"	"2018"	"Texas"	"48"	10656	18507667	57.6
	"2018"	"2018"	"Utah"	"49"	1478	1872333	78.9
	"2018"	"2018"	"Vermont"	"50"	363	443107	81.9
	"2018"	"2018"	"Virginia"	"51"	3505	5842846	60.0
	"2018"	"2018"	"Washington"	"53"	3403	5214860	65.3
	"2018"	"2018"	"West Virginia"	"54"	1601	1284823	124.6
	"2018"	"2018"	"Wisconsin"	"55"	2734	3985700	68.6
	"2018"	"2018"	"Wyoming"	"56"	353	390595	90.4
	"2019"	"2019"	"Alabama"	"01"	2399	3364655	71.3
	"2019"	"2019"	"Alaska"	"02"	472	483410	97.6
	"2019"	"2019"	"Arizona"	"04"	4512	4944637	91.3
	"2019"	"2019"	"Arkansas"	"05"	1351	2038589	66.3
	"2019"	"2019"	"California"	"06"	16336	26939547	60.6
	"2019"	"2019"	"Colorado"	"08"	3361	3973000	84.6
	"2019"	"2019"	"Connecticut"	"09"	2094	2495774	83.9
	"2019"	"2019"	"Delaware"	"10"	681	687698	99.0
