"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Alabama"	"01"	53081	3345373	1586.7
	"2018"	"2018"	"Alaska"	"02"	4259	483245	881.3
	"2018"	"2018"	"Arizona"	"04"	57726	4841593	1192.3
	"2018"	"2018"	"Arkansas"	"05"	31552	2030067	1554.2
	"2018"	"2018"	"California"	"06"	263150	26821695	981.1
	"2018"	"2018"	"Colorado"	"08"	37508	3903501	960.9
	"2018"	"2018"	"Connecticut"	"09"	30763	2490603	1235.2
	"2018"	"2018"	"Delaware"	"10"	9238	679747	1359.0
	"2018"	"2018"	"District of Columbia"	"11"	4853	500819	969.0
	"2018"	"2018"	"Florida"	"12"	201677	15316063	1316.8
	"2018"	"2018"	"Georgia"	"13"	82865	7003377	1183.2
	"2018"	"2018"	"Hawaii"	"15"	11182	995834	1122.9
	"2018"	"2018"	"Idaho"	"16"	13869	1144468	1211.8
	"2018"	"2018"	"Illinois"	"17"	107552	8707504	1235.2
	"2018"	"2018"	"Indiana"	"18"	64131	4467771	1435.4
	"2018"	"2018"	"Iowa"	"19"	29839	2106348	1416.6
	"2018"	"2018"	"Kansas"	"20"	26879	1910809	1406.7
	"2018"	"2018"	"Kentucky"	"21"	47744	3041841	1569.6
	"2018"	"2018"	"Louisiana"	"22"	44794	3138713	1427.1
	"2018"	"2018"	"Maine"	"23"	14530	980876	1481.3
	"2018"	"2018"	"Maryland"	"24"	49433	4171210	1185.1
	"2018"	"2018"	"Massachusetts"	"25"	58336	4833363	1206.9
	"2018"	"2018"	"Michigan"	"26"	96936	6869308	1411.1
	"2018"	"2018"	"Minnesota"	"27"	43870	3806928	1152.4
	"2018"	"2018"	"Mississippi"	"28"	31429	1988465	1580.6
	"2018"	"2018"	"Missouri"	"29"	61633	4183237	1473.3
	"2018"	"2018"	"Montana"	"30"	9771	734426	1330.4
	"2018"	"2018"	"Nebraska"	"31"	16535	1261719	1310.5
	"2018"	"2018"	"Nevada"	"32"	24132	2096606	1151.0
	"2018"	"2018"	"New Hampshire"	"33"	12590	972151	1295.1
	"2018"	"2018"	"New Jersey"	"34"	74533	6188871	1204.3
	"2018"	"2018"	"New Mexico"	"35"	18523	1415820	1308.3
