"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Alabama"	"01"	734	3345373	21.9
	"2018"	"2018"	"Alaska"	"02"	102	483245	21.1
	"2018"	"2018"	"Arizona"	"04"	1403	4841593	29.0
	"2018"	"2018"	"Arkansas"	"05"	376	2030067	18.5
	"2018"	"2018"	"California"	"06"	4935	26821695	18.4
	"2018"	"2018"	"Colorado"	"08"	824	3903501	21.1
	"2018"	"2018"	"Connecticut"	"09"	964	2490603	38.7
	"2018"	"2018"	"Delaware"	"10"	383	679747	56.3
	"2018"	"2018"	"District of Columbia"	"11"	253	500819	50.5
	"2018"	"2018"	"Florida"	"12"	4248	15316063	27.7
	"2018"	"2018"	"Georgia"	"13"	1273	7003377	18.2
	"2018"	"2018"	"Hawaii"	"15"	218	995834	21.9
	"2018"	"2018"	"Idaho"	"16"	210	1144468	18.3
	"2018"	"2018"	"Illinois"	"17"	2399	8707504	27.6
	"2018"	"2018"	"Indiana"	"18"	1451	4467771	32.5
	"2018"	"2018"	"Iowa"	"19"	221	2106348	10.5
	"2018"	"2018"	"Kansas"	"20"	282	1910809	14.8
	"2018"	"2018"	"Kentucky"	"21"	1273	3041841	41.8
	"2018"	"2018"	"Louisiana"	"22"	1072	3138713	34.2
	"2018"	"2018"	"Maine"	"23"	319	980876	32.5
	"2018"	"2018"	"Maryland"	"24"	2181	4171210	52.3
	"2018"	"2018"	"Massachusetts"	"25"	2167	4833363	44.8
	"2018"	"2018"	"Michigan"	"26"	2521	6869308	36.7
	"2018"	"2018"	"Minnesota"	"27"	539	3806928	14.2
	"2018"	"2018"	"Mississippi"	"28"	299	1988465	15.0
	"2018"	"2018"	"Missouri"	"29"	1392	4183237	33.3
	"2018"	"2018"	"Montana"	"30"	99	734426	13.5
	"2018"	"2018"	"Nebraska"	"31"	131	1261719	10.4
	"2018"	"2018"	"Nevada"	"32"	599	2096606	28.6
	"2018"	"2018"	"New Hampshire"	"33"	408	972151	42.0
	"2018"	"2018"	"New Jersey"	"34"	2655	6188871	42.9
	"2018"	"2018"	"New Mexico"	"35"	450	1415820	31.8
	"2018"	"2018"	"New York"	"36"	3410	13673941	24.9
	"2018"	"2018"	"North Carolina"	"37"	1974	7099141	27.8
	"2018"	"2018"	"North Dakota"	"38"	59	496667	11.9
	"2018"	"2018"	"Ohio"	"39"	3706	8027919	46.2
	"2018"	"2018"	"Oklahoma"	"40"	642	2606913	24.6
	"2018"	"2018"	"Oregon"	"41"	505	2952102	17.1
	"2018"	"2018"	"Pennsylvania"	"42"	3943	8997867	43.8
	"2018"	"2018"	"Rhode Island"	"44"	296	741199	39.9
