"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Alabama"	"01"	705	3345373	21.1
	"2018"	"2018"	"Alaska"	"02"	139	483245	28.8
	"2018"	"2018"	"Arizona"	"04"	1226	4841593	25.3
	"2018"	"2018"	"Arkansas"	"05"	480	2030067	23.6
	"2018"	"2018"	"California"	"06"	3945	26821695	14.7
	"2018"	"2018"	"Colorado"	"08"	1076	3903501	27.6
	"2018"	"2018"	"Connecticut"	"09"	378	2490603	15.2
	"2018"	"2018"	"Delaware"	"10"	91	679747	13.4
	"2018"	"2018"	"District of Columbia"	"11"	48	500819	9.6
	"2018"	"2018"	"Florida"	"12"	3247	15316063	21.2
	"2018"	"2018"	"Georgia"	"13"	1340	7003377	19.1
	"2018"	"2018"	"Hawaii"	"15"	155	995834	15.6
	"2018"	"2018"	"Idaho"	"16"	330	1144468	28.8
	"2018"	"2018"	"Illinois"	"17"	1287	8707504	14.8
	"2018"	"2018"	"Indiana"	"18"	900	4467771	20.1
	"2018"	"2018"	"Iowa"	"19"	418	2106348	19.8
	"2018"	"2018"	"Kansas"	"20"	445	1910809	23.3
	"2018"	"2018"	"Kentucky"	"21"	686	3041841	22.6
	"2018"	"2018"	"Louisiana"	"22"	617	3138713	19.7
	"2018"	"2018"	"Maine"	"23"	239	980876	24.4
	"2018"	"2018"	"Maryland"	"24"	557	4171210	13.4
	"2018"	"2018"	"Massachusetts"	"25"	658	4833363	13.6
	"2018"	"2018"	"Michigan"	"26"	1296	6869308	18.9
	"2018"	"2018"	"Minnesota"	"27"	619	3806928	16.3
	"2018"	"2018"	"Mississippi"	"28"	355	1988465	17.9
	"2018"	"2018"	"Missouri"	"29"	1045	4183237	25.0
	"2018"	"2018"	"Montana"	"30"	219	734426	29.8
	"2018"	"2018"	"Nebraska"	"31"	231	1261719	18.3
	"2018"	"2018"	"Nevada"	"32"	579	2096606	27.6
	"2018"	"2018"	"New Hampshire"	"33"	242	972151	24.9
	"2018"	"2018"	"New Jersey"	"34"	676	6188871	10.9
	"2018"	"2018"	"New Mexico"	"35"	445	1415820	31.4
	"2018"	"2018"	"New York"	"36"	1510	13673941	11.0
	"2018"	"2018"	"North Carolina"	"37"	1292	7099141	18.2
	"2018"	"2018"	"North Dakota"	"38"	119	496667	24.0
	"2018"	"2018"	"Ohio"	"39"	1567	8027919	19.5
	"2018"	"2018"	"Oklahoma"	"40"	682	2606913	26.2
	"2018"	"2018"	"Oregon"	"41"	715	2952102	24.2
	"2018"	"2018"	"Pennsylvania"	"42"	1758	8997867	19.5
	"2018"	"2018"	"Rhode Island"	"44"	99	741199	13.4
	"2018"	"2018"	"South Carolina"	"45"	689	3509959	19.6
	"2018"	"2018"	"South Dakota"	"46"	123	581200	21.2
	"2018"	"2018"	"Tennessee"	"47"	1022	4650000	22.0
	"2018"	"2018"	"Texas"	"48"	3295	18507667	17.8
	"2018"	"2018"	"Utah"	"49"	532	1872333	28.4
	"2018"	"2018"	"Vermont"	"50"	112	443107	25.3
	"2018"	"2018"	"Virginia"	"51"	1039	5842846	17.8
	"2018"	"2018"	"Washington"	"53"	1055	5214860	20.2
	"2018"	"2018"	"West Virginia"	"54"	349	1284823	27.2
	"2018"	"2018"	"Wisconsin"	"55"	774	3985700	19.4
	"2018"	"2018"	"Wyoming"	"56"	122	390595	31.2
	"2019"	"2019"	"Alabama"	"01"	700	3364655	20.8
	"2019"	"2019"	"Alaska"	"02"	151	483410	31.2
	"2019"	"2019"	"Arizona"	"04"	1251	4944637	25.3
	"2019"	"2019"	"Arkansas"	"05"	456	2038589	22.4
	"2019"	"2019"	"California"	"06"	3910	26939547	14.5
	"2019"	"2019"	"Colorado"	"08"	1105	3973000	27.8
	"2019"	"2019"	"Connecticut"	"09"	387	2495774	15.5
	"2019"	"2019"	"Delaware"	"10"	102	687698	14.8
	"2019"	"2019"	"District of Columbia"	"11"	36	505015	7.1
	"2019"	"2019"	"Florida"	"12"	3144	15505040	20.3
	"2019"	"2019"	"Georgia"	"13"	1367	7098354	19.3
	"2019"	"2019"	"Hawaii"	"15"	197	997130	19.8
	"2019"	"2019"	"Idaho"	"16"	304	1174458	25.9
	"2019"	"2019"	"Illinois"	"17"	1255	8696535	14.4
	"2019"	"2019"	"Indiana"	"18"	838	4504500	18.6
	"2019"	"2019"	"Iowa"	"19"	446	2114524	21.1
	"2019"	"2019"	"Kansas"	"20"	432	1918904	22.5
	"2019"	"2019"	"Kentucky"	"21"	662	3050848	21.7
	"2019"	"2019"	"Louisiana"	"22"	599	3142121	19.1
	"2019"	"2019"	"Maine"	"23"	248	988438	25.1
	"2019"	"2019"	"Maryland"	"24"	572	4184844	13.7
	"2019"	"2019"	"Massachusetts"	"25"	578	4848982	11.9
	"2019"	"2019"	"Michigan"	"26"	1270	6897401	18.4
	"2019"	"2019"	"Minnesota"	"27"	706	3838357	18.4
	"2019"	"2019"	"Mississippi"	"28"	377	1994145	18.9
	"2019"	"2019"	"Missouri"	"29"	967	4205339	23.0
	"2019"	"2019"	"Montana"	"30"	237	742426	31.9
	"2019"	"2019"	"Nebraska"	"31"	266	1269036	21.0
	"2019"	"2019"	"Nevada"	"32"	573	2137297	26.8
	"2019"	"2019"	"New Hampshire"	"33"	223	980767	22.7
	"2019"	"2019"	"New Jersey"	"34"	676	6189978	10.9
	"2019"	"2019"	"New Mexico"	"35"	421	1425116	29.5
	"2019"	"2019"	"New York"	"36"	1458	13662718	10.7
	"2019"	"2019"	"North Carolina"	"37"	1165	7196782	16.2
	"2019"	"2019"	"North Dakota"	"38"	113	499069	22.6
	"2019"	"2019"	"Ohio"	"39"	1550	8050770	19.3
	"2019"	"2019"	"Oklahoma"	"40"	683	2623828	26.0
	"2019"	"2019"	"Oregon"	"41"	788	2988153	26.4
	"2019"	"2019"	"Pennsylvania"	"42"	1687	9025217	18.7
	"2019"	"2019"	"Rhode Island"	"44"	119	745315	16.0
	"2019"	"2019"	"South Carolina"	"45"	729	3570132	20.4
	"2019"	"2019"	"South Dakota"	"46"	137	585162	23.4
	"2019"	"2019"	"Tennessee"	"47"	1069	4706683	22.7
	"2019"	"2019"	"Texas"	"48"	3219	18782771	17.1
	"2019"	"2019"	"Utah"	"49"	507	1912695	26.5
	"2019"	"2019"	"Vermont"	"50"	98	444144	22.1
	"2019"	"2019"	"Virginia"	"51"	970	5876474	16.5
	"2019"	"2019"	"Washington"	"53"	1103	5293324	20.8
	"2019"	"2019"	"West Virginia"	"54"	288	1278794	22.5
	"2019"	"2019"	"Wisconsin"	"55"	723	4009767	18.0
	"2019"	"2019"	"Wyoming"	"56"	145	392504	36.9
