"Year","County","County.Code","Death.Rate","Death.Rate.25.34","Death.Rate.35.44","Death.Rate.45.54","Death.Rate.55.64","Death.Rate.65.74","Death.Rate.75.84","Death.Rate.85.","Death.Rate.45.64","Death.Rate.65.","Death.Rate.F","Death.Rate.M","Death.Rate.White","Death.Rate.Black","Death.Rate.Asian","Death.Rate.Indian"
2009,"Autauga County, AL",1001,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Baldwin County, AL",1003,9.66346966878458e-05,0,NA,NA,NA,NA,0,0,0,0,NA,0.00016735281320079,0.000107063515430529,0,0,0
2009,"Barbour County, AL",1005,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Bibb County, AL",1007,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Blount County, AL",1009,NA,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,0
2009,"Bullock County, AL",1011,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,NA,0,0
2009,"Butler County, AL",1013,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Calhoun County, AL",1015,0.000216847798357059,0,NA,NA,NA,NA,NA,0,0,0,NA,0.000325989514003966,0.000221870047543582,NA,0,0
2009,"Chambers County, AL",1017,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Cherokee County, AL",1019,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0
2009,"Chilton County, AL",1021,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0
2009,"Choctaw County, AL",1023,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0
2009,"Clarke County, AL",1025,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Clay County, AL",1027,NA,0,0,0,NA,0,0,NA,0,0,NA,0,NA,0,0,0
2009,"Cleburne County, AL",1029,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0
2009,"Coffee County, AL",1031,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2009,"Colbert County, AL",1033,NA,0,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,0
2009,"Conecuh County, AL",1035,NA,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Coosa County, AL",1037,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Covington County, AL",1039,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Crenshaw County, AL",1041,NA,0,0,0,NA,0,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Cullman County, AL",1043,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2009,"Dale County, AL",1045,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Dallas County, AL",1047,NA,0,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,0
2009,"DeKalb County, AL",1049,NA,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,0
2009,"Elmore County, AL",1051,NA,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Escambia County, AL",1053,NA,0,0,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Etowah County, AL",1055,0.000336450170327899,0,NA,NA,0.000794395898028454,NA,NA,0,0.000382422472535113,0,NA,0.000566386454420795,0.00037846999391157,NA,0,0
2009,"Fayette County, AL",1057,NA,0,0,NA,NA,0,NA,0,0,0,NA,0,NA,NA,0,0
2009,"Franklin County, AL",1059,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,NA,0,0,0
2009,"Geneva County, AL",1061,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2009,"Greene County, AL",1063,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Hale County, AL",1065,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Henry County, AL",1067,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Houston County, AL",1069,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0
2009,"Jackson County, AL",1071,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0
2009,"Jefferson County, AL",1073,0.000216595304213805,NA,NA,0.000290972575834728,0.000460205046915348,0.000410902616079989,NA,NA,0.000366856782551374,0.000208916073770587,0.00010539006972607,0.000347580837371892,0.000258699244752653,0.00016330910914881,0,0
2009,"Lamar County, AL",1075,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Lauderdale County, AL",1077,0.000208236556728444,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.00019561467465723,NA,0,0
2009,"Lawrence County, AL",1079,NA,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0
2009,"Lee County, AL",1081,0.000128001638420972,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Limestone County, AL",1083,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2009,"Lowndes County, AL",1085,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0
2009,"Macon County, AL",1087,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Madison County, AL",1089,0.000170043797767371,0,NA,0.000227182370648038,0.000273867557649121,NA,NA,NA,0.000246264062237645,0,0.000123577752473762,0.000220513508849303,0.000208820837862903,NA,0,0
2009,"Marengo County, AL",1091,NA,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Marion County, AL",1093,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,NA,0,0,0
2009,"Marshall County, AL",1095,0.000294898260100265,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0.000288492541619292,NA,0,0
2009,"Mobile County, AL",1097,0.000232407327578128,0,NA,0.000364570386941752,0.000330216911233567,0.000476839237057221,NA,0,0.000349271126307469,0.000266626037937076,0.000147870662460568,0.000328638873971,0.000251451561285603,0.000213543396763631,0,0
2009,"Monroe County, AL",1099,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Montgomery County, AL",1101,8.91375598250161e-05,NA,0,NA,NA,NA,NA,NA,0,0,NA,0.000179385604305254,NA,NA,0,NA
2009,"Morgan County, AL",1103,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0
2009,"Perry County, AL",1105,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0
2009,"Pickens County, AL",1107,NA,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0
2009,"Pike County, AL",1109,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0
2009,"Randolph County, AL",1111,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2009,"Russell County, AL",1113,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"St. Clair County, AL",1115,0.00019416790228059,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0
2009,"Shelby County, AL",1117,0.000132659112900709,0,NA,NA,NA,NA,NA,0,0,0,NA,0.000178794922224209,0.000151318248980827,0,0,0
2009,"Sumter County, AL",1119,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,NA,0,0
2009,"Talladega County, AL",1121,0.000214573088958426,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.000281610813855252,NA,0,0
2009,"Tallapoosa County, AL",1123,NA,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0
2009,"Tuscaloosa County, AL",1125,0.000211864406779661,0,NA,NA,NA,NA,NA,NA,0,0,0.000184106580973422,0.000242845400881716,0.000227094950922258,NA,0,0
2009,"Walker County, AL",1127,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2009,"Washington County, AL",1129,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,0
2009,"Wilcox County, AL",1131,NA,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,0,0
2009,"Winston County, AL",1133,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Appling County, GA",13001,NA,0,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0
2009,"Atkinson County, GA",13003,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Bacon County, GA",13005,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0
2009,"Baker County, GA",13007,NA,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,0
2009,"Baldwin County, GA",13009,NA,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0
2009,"Banks County, GA",13011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Barrow County, GA",13013,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0
2009,"Bartow County, GA",13015,0.000186677452475032,NA,NA,NA,NA,NA,0,0,0,0,NA,0.000351606201054819,0.000210286515377201,0,0,0
2009,"Ben Hill County, GA",13017,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Berrien County, GA",13019,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,0,0,0
2009,"Bibb County, GA",13021,0.00025289053885916,0,NA,0.000462320850670365,NA,NA,NA,0,0.000252640088929311,0,NA,0.000423993573150049,0.000381235202054657,NA,0,0
2009,"Bleckley County, GA",13023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Brantley County, GA",13025,NA,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0
