"Year","County","County.Code","Death.Rate","Death.Rate.25.34","Death.Rate.35.44","Death.Rate.45.54","Death.Rate.55.64","Death.Rate.65.74","Death.Rate.75.84","Death.Rate.85.","Death.Rate.45.64","Death.Rate.65.","Death.Rate.F","Death.Rate.M","Death.Rate.White","Death.Rate.Black","Death.Rate.Asian","Death.Rate.Indian"
2009,"Autauga County, AL",1001,NA,0,NA,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0
2009,"Baldwin County, AL",1003,0.000281851198672883,NA,NA,0.000375135986795213,0.000419691946111554,NA,0,NA,0.000396165121622692,0,NA,0.000468587876962212,0.000303346627053166,NA,0,0
2009,"Barbour County, AL",1005,NA,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0
2009,"Bibb County, AL",1007,NA,NA,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,0
2009,"Blount County, AL",1009,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0
2009,"Bullock County, AL",1011,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Butler County, AL",1013,NA,0,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0
2009,"Calhoun County, AL",1015,0.000267870809735191,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.000434652685338622,0.000332805071315372,0,0,0
2009,"Chambers County, AL",1017,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Cherokee County, AL",1019,NA,0,0,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,0
2009,"Chilton County, AL",1021,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2009,"Choctaw County, AL",1023,NA,0,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0
2009,"Clarke County, AL",1025,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Clay County, AL",1027,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Cleburne County, AL",1029,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0
2009,"Coffee County, AL",1031,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,0
2009,"Colbert County, AL",1033,NA,NA,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,0
2009,"Conecuh County, AL",1035,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,NA,0,0,0
