FIPS,STATE,COUNTY,SUBREGION
01007,Alabama,Bibb,Southern
01009,Alabama,Blount,Southern
01015,Alabama,Calhoun,Southern
01017,Alabama,Chambers,Southern
01019,Alabama,Cherokee,Southern
01021,Alabama,Chilton,Southern
01027,Alabama,Clay,Southern
01029,Alabama,Cleburne,Southern
01033,Alabama,Colbert,Southern
01037,Alabama,Coosa,Southern
01043,Alabama,Cullman,Southern
01049,Alabama,De Kalb,Southern
01051,Alabama,Elmore,Southern
01055,Alabama,Etowah,Southern
01057,Alabama,Fayette,Southern
01059,Alabama,Franklin,Southern
01065,Alabama,Hale,Southern
01071,Alabama,Jackson,Southern
01073,Alabama,Jefferson,Southern
01075,Alabama,Lamar,Southern
01077,Alabama,Lauderdale,Southern
01079,Alabama,Lawrence,Southern
01083,Alabama,Limestone,Southern
01087,Alabama,Macon,Southern
01089,Alabama,Madison,Southern
01093,Alabama,Marion,Southern
01095,Alabama,Marshall,Southern
01103,Alabama,Morgan,Southern
01107,Alabama,Pickens,Southern
01111,Alabama,Randolph,Southern
01115,Alabama,St. Clair,Southern
01117,Alabama,Shelby,Southern
01121,Alabama,Talladega,Southern
01123,Alabama,Tallapoosa,Southern
01125,Alabama,Tuscaloosa,Southern
01127,Alabama,Walker,Southern
01133,Alabama,Winston,Southern
13011,Georgia,Banks,Southern
13013,Georgia,Barrow,Southern
13015,Georgia,Bartow,Southern
13045,Georgia,Carroll,Southern
13047,Georgia,Catoosa,Southern
13055,Georgia,Chattooga,Southern
13057,Georgia,Cherokee,Southern
13083,Georgia,Dade,Southern
13085,Georgia,Dawson,Southern
13097,Georgia,Douglas,Southern
13105,Georgia,Elbert,Southern
13111,Georgia,Fannin,Southern
13115,Georgia,Floyd,Southern
13117,Georgia,Forsyth,Southern
13119,Georgia,Franklin,Southern
13123,Georgia,Gilmer,Southern
13129,Georgia,Gordon,Southern
13135,Georgia,Gwinnett,Southern
13137,Georgia,Habersham,Southern
13139,Georgia,Hall,Southern
13143,Georgia,Haralson,Southern
13147,Georgia,Hart,Southern
13149,Georgia,Heard,Southern
13157,Georgia,Jackson,Southern
13187,Georgia,Lumpkin,Southern
13195,Georgia,Madison,Southern
13213,Georgia,Murray,Southern
13223,Georgia,Paulding,Southern
13227,Georgia,Pickens,Southern
13233,Georgia,Polk,Southern
13241,Georgia,Rabun,Southern
13257,Georgia,Stephens,Southern
13281,Georgia,Towns,Southern
13291,Georgia,Union,Southern
13295,Georgia,Walker,Southern
13311,Georgia,White,Southern
13313,Georgia,Whitfield,Southern
21001,Kentucky,Adair,Central
21011,Kentucky,Bath,Central
21013,Kentucky,Bell,Central
21019,Kentucky,Boyd,Central
21025,Kentucky,Breathitt,Central
21043,Kentucky,Carter,Central
21045,Kentucky,Casey,Central
21049,Kentucky,Clark,Central
21051,Kentucky,Clay,Central
21053,Kentucky,Clinton,Central
21057,Kentucky,Cumberland,Central
21061,Kentucky,Edmonson,Central
21063,Kentucky,Elliott,Central
21065,Kentucky,Estill,Central
21069,Kentucky,Fleming,Central
21071,Kentucky,Floyd,Central
21079,Kentucky,Garrard,Central
21087,Kentucky,Green,Central
21089,Kentucky,Greenup,Central
21095,Kentucky,Harlan,Central
21099,Kentucky,Hart,Central
21109,Kentucky,Jackson,Central
21115,Kentucky,Johnson,Central
21119,Kentucky,Knott,Central
21121,Kentucky,Knox,Central
21125,Kentucky,Laurel,Central
21127,Kentucky,Lawrence,Central
21129,Kentucky,Lee,Central
21131,Kentucky,Leslie,Central
21133,Kentucky,Letcher,Central
21135,Kentucky,Lewis,Central
21137,Kentucky,Lincoln,Central
21147,Kentucky,McCreary,Central
21151,Kentucky,Madison,Central
21153,Kentucky,Magoffin,Central
21159,Kentucky,Martin,Central
21165,Kentucky,Menifee,Central
21169,Kentucky,Metcalfe,Central
21171,Kentucky,Monroe,Central
21173,Kentucky,Montgomery,Central
21175,Kentucky,Morgan,Central
21181,Kentucky,Nicholas,Central
21189,Kentucky,Owsley,Central
21193,Kentucky,Perry,Central
21195,Kentucky,Pike,Central
21197,Kentucky,Powell,Central
21199,Kentucky,Pulaski,Central
21201,Kentucky,Robertson,Central
21203,Kentucky,Rockcastle,Central
21205,Kentucky,Rowan,Central
21207,Kentucky,Russell,Central
21231,Kentucky,Wayne,Central
21235,Kentucky,Whitley,Central
21237,Kentucky,Wolfe,Central
24001,Maryland,Allegany,Northern
24023,Maryland,Garrett,Northern
24043,Maryland,Washington,Northern
28003,Mississippi,Alcorn,Southern
28009,Mississippi,Benton,Southern
28013,Mississippi,Calhoun,Southern
28017,Mississippi,Chickasaw,Southern
28019,Mississippi,Choctaw,Southern
28025,Mississippi,Clay,Southern
28057,Mississippi,Itawamba,Southern
28069,Mississippi,Kemper,Southern
28081,Mississippi,Lee,Southern
28087,Mississippi,Lowndes,Southern
28093,Mississippi,Marshall,Southern
28095,Mississippi,Monroe,Southern
28097,Mississippi,Montgomery,Southern
28103,Mississippi,Noxubee,Southern
28105,Mississippi,Oktibbeha,Southern
28107,Mississippi,Panola,Southern
28115,Mississippi,Pontotoc,Southern
28117,Mississippi,Prentiss,Southern
28139,Mississippi,Tippah,Southern
28141,Mississippi,Tishomingo,Southern
28145,Mississippi,Union,Southern
28155,Mississippi,Webster,Southern
28159,Mississippi,Winston,Southern
28161,Mississippi,Yalobusha,Southern
36003,New York,Allegany,Northern
36007,New York,Broome,Northern
36009,New York,Cattaraugus,Northern
36013,New York,Chautauqua,Northern
36015,New York,Chemung,Northern
36017,New York,Chenango,Northern
36023,New York,Cortland,Northern
36025,New York,Delaware,Northern
36077,New York,Otsego,Northern
36095,New York,Schoharie,Northern
36097,New York,Schuyler,Northern
36101,New York,Steuben,Northern
36107,New York,Tioga,Northern
36109,New York,Tompkins,Northern
37003,North Carolina,Alexander,South Central
37005,North Carolina,Alleghany,South Central
37009,North Carolina,Ashe,South Central
37011,North Carolina,Avery,South Central
37021,North Carolina,Buncombe,South Central
37023,North Carolina,Burke,South Central
37027,North Carolina,Caldwell,South Central
37035,North Carolina,Catawba,South Central
37039,North Carolina,Cherokee,South Central
37043,North Carolina,Clay,South Central
37045,North Carolina,Cleveland,South Central
37059,North Carolina,Davie,South Central
37067,North Carolina,Forsyth,South Central
37075,North Carolina,Graham,South Central
37087,North Carolina,Haywood,South Central
37089,North Carolina,Henderson,South Central
37099,North Carolina,Jackson,South Central
37111,North Carolina,McDowell,South Central
37113,North Carolina,Macon,South Central
37115,North Carolina,Madison,South Central
37121,North Carolina,Mitchell,South Central
37149,North Carolina,Polk,South Central
37161,North Carolina,Rutherford,South Central
37169,North Carolina,Stokes,South Central
37171,North Carolina,Surry,South Central
37173,North Carolina,Swain,South Central
37175,North Carolina,Transylvania,South Central
37189,North Carolina,Watauga,South Central
37193,North Carolina,Wilkes,South Central
37197,North Carolina,Yadkin,South Central
37199,North Carolina,Yancey,South Central
39001,Ohio,Adams,North Central
39007,Ohio,Ashtabula,Northern
39009,Ohio,Athens,North Central
39013,Ohio,Belmont,Northern
39015,Ohio,Brown,North Central
39019,Ohio,Carroll,Northern
39025,Ohio,Clermont,North Central
39029,Ohio,Columbiana,Northern
39031,Ohio,Coshocton,Northern
39053,Ohio,Gallia,North Central
39059,Ohio,Guernsey,Northern
39067,Ohio,Harrison,Northern
39071,Ohio,Highland,North Central
39073,Ohio,Hocking,North Central
39075,Ohio,Holmes,Northern
39079,Ohio,Jackson,North Central
39081,Ohio,Jefferson,Northern
39087,Ohio,Lawrence,North Central
