Year,State,State.Code,all_deaths,DOD_deaths,drugs_deaths,alcohol_deaths,suicide_deaths,Population
2018,Alabama,1,53081,2333,734,894,705,3345373
2018,Alaska,2,4259,458,102,217,139,483245
2018,Arizona,4,57726,4202,1403,1573,1226,4841593
2018,Arkansas,5,31552,1396,376,540,480,2030067
2018,California,6,263150,15427,4935,6547,3945,26821695
2018,Colorado,8,37508,3136,824,1236,1076,3903501
2018,Connecticut,9,30763,1837,964,495,378,2490603
2018,Delaware,10,9238,628,383,154,91,679747
2018,District of Columbia,11,4853,394,253,93,48,500819
2018,Florida,12,201677,11744,4248,4249,3247,15316063
2018,Georgia,13,82865,4159,1273,1546,1340,7003377
2018,Hawaii,15,11182,524,218,151,155,995834
2018,Idaho,16,13869,861,210,321,330,1144468
2018,Illinois,17,107552,5569,2399,1883,1287,8707504
2018,Indiana,18,64131,3611,1451,1260,900,4467771
2018,Iowa,19,29839,1113,221,474,418,2106348
2018,Kansas,20,26879,1192,282,465,445,1910809
2018,Kentucky,21,47744,2848,1273,889,686,3041841
2018,Louisiana,22,44794,2303,1072,614,617,3138713
2018,Maine,23,14530,844,319,286,239,980876
2018,Maryland,24,49433,3392,2181,654,557,4171210
2018,Massachusetts,25,58336,3957,2167,1132,658,4833363
2018,Michigan,26,96936,5508,2521,1691,1296,6869308
2018,Minnesota,27,43870,2082,539,924,619,3806928
2018,Mississippi,28,31429,1164,299,510,355,1988465
2018,Missouri,29,61633,3420,1392,983,1045,4183237
2018,Montana,30,9771,541,99,223,219,734426
2018,Nebraska,31,16535,653,131,291,231,1261719
2018,Nevada,32,24132,1859,599,681,579,2096606
2018,New Hampshire,33,12590,922,408,272,242,972151
2018,New Jersey,34,74533,4497,2655,1166,676,6188871
2018,New Mexico,35,18523,1816,450,921,445,1415820
2018,New York,36,154575,7219,3410,2299,1510,13673941
2018,North Carolina,37,91716,5002,1974,1736,1292,7099141
2018,North Dakota,38,6301,338,59,160,119,496667
2018,Ohio,39,121757,7208,3706,1935,1567,8027919
2018,Oklahoma,40,40013,2189,642,865,682,2606913
2018,Oregon,41,35610,2226,505,1006,715,2952102
2018,Pennsylvania,42,132341,7401,3943,1700,1758,8997867
2018,Rhode Island,44,9941,602,296,207,99,741199
2018,South Carolina,45,49420,2674,1033,952,689,3509959
2018,South Dakota,46,7761,394,41,230,123,581200
2018,Tennessee,47,69484,4121,1711,1388,1022,4650000
2018,Texas,48,196438,10656,2604,4757,3295,18507667
2018,Utah,49,17673,1478,515,431,532,1872333
2018,Vermont,50,5938,363,146,105,112,443107
2018,Virginia,51,67860,3505,1265,1201,1039,5842846
2018,Washington,53,55691,3403,1070,1278,1055,5214860
2018,West Virginia,54,23096,1601,810,442,349,1284823
2018,Wisconsin,55,52678,2734,932,1028,774,3985700
2018,Wyoming,56,4954,353,57,174,122,390595
2019,Alabama,1,52797,2399,742,957,700,3364655
2019,Alaska,2,4400,472,126,195,151,483410
2019,Arizona,4,58736,4512,1582,1679,1251,4944637
2019,Arkansas,5,32123,1351,332,563,456,2038589
2019,California,6,264210,16336,5642,6784,3910,26939547
2019,Colorado,8,38362,3361,862,1394,1105,3973000
